status_id,text,lang,name,time,media_url,hashtag,favorite_count,retweets_count,source
1369721786053632001,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,TheoGrana,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,93,Twitter for iPhone
1369721781993488386,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,bornleader0,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,93,Twitter for iPhone
1369721781599285252,RT @fcbarcelona_fra: 🏟 L'arrivée de nos protégés au Parc des Princes ! #PSGBarça https://t.co/JnxYBjvLTm,fr,IzmirlianNataly,befor game,http://pbs.twimg.com/media/EwI6haDWQAEHhhS.jpg,#PSGBarça,0,13,Twitter for Android
1369721781339193347,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,Jennifer_lm19,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,93,Twitter for iPhone
1369721780290658306,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,Saad212__,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,93,Twitter for iPhone
1369721780227702799,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,illxnfc,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,570,Twitter for iPhone
1369721780223508489,RT @fcbarcelona_fra: 🏟 L'arrivée de nos protégés au Parc des Princes ! #PSGBarça https://t.co/JnxYBjvLTm,fr,THIOUBOULETTE,befor game,http://pbs.twimg.com/media/EwI6haDWQAEHhhS.jpg,#PSGBarça,0,15,Twitter for Android
1369721779896324098,"RT @Sammy62538090: As we draw closer to 9pm, I'd like to urge all Ronaldo fans, take a deep retrospective look at other important things of…",en,Arsha_Apa,befor game,None,,0,1,Twitter for Android
1369721779514654721,"RT @SUQ66: Paris SG 🇫🇷 vs 🇪🇸 Barcelona

#PSGbarca  Live HD Stream

Match Links:
1- https://t.co/putMle2757
2- https://t.co/hZ8v0s47E5
3- ht…",en,TalizmanZA,befor game,None,#PSGbarca,0,13,Twitter for Android
1369721777300049924,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,_Ade_Mola,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,99,Twitter for iPhone
1369721777203601410,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,JamalTahir6,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,573,Twitter for iPhone
1369721776708681730,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,TonyeArchille,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,105,Twitter for iPhone
1369721775681114117,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,official_yuslaw,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,576,Twitter for Android
1369721771264536580,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,FranklinUdeh3,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,108,Twitter for iPhone
1369721770522140680,"RT @HagridFCB: (🌕) Neymar isn’t involved with the group, he is training individually. The player isn’t expected to be in the squad that fac…",en,2drunkfornickj,befor game,None,,0,85,Twitter Web App
1369721766118064138,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,Bhussie_,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,577,Twitter for iPhone
1369721765182771206,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,rafaelaraujo94,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,378,Twitter for Android
1369721763769245705,"RT @HagridFCB: ‼️ JUST IN: Ronald Araujo involved in group training today, per multiple sources. It remains to be seen whether he’ll enter…",en,2drunkfornickj,befor game,None,,0,75,Twitter Web App
1369721760225107971,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,GuilleDev06,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,379,Twitter for Android
1369721759436509185,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,LePanchis,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,379,Twitter for iPhone
1369721754265022473,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,_mara1904_,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,579,Twitter for Android
1369721753547796482,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,iayala85,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,381,Twitter for iPhone
1369721752532754440,RT @fcbarcelona_fra: 🏟 L'arrivée de nos protégés au Parc des Princes ! #PSGBarça https://t.co/JnxYBjvLTm,fr,MarioMesajil,befor game,http://pbs.twimg.com/media/EwI6haDWQAEHhhS.jpg,#PSGBarça,0,15,Twitter Web App
1369721752331448328,"RT @Ps5Touch: Follow,  Retweet And Like 
Visit The Link And Follow The Steps To Win A Free PS5
https://t.co/2kDQuASj4Y
#PlayStation #PlaySt…",en,mathgril,befor game,None,#PlayStation,0,2,_math_bot_
1369721748464222212,"RT @FCBW_A7: التشكيلة الرسمية 

شتيغن - مينغويزا دي يونغ لينغليت - ديست بوسكيتس بيدري البا - ميسي غريزمان ديمبلي

#PSGBarça #UCL 🔴🔵",ar,iiiikbh1,befor game,None,#PSGBarça#UCL,0,127,Twitter for iPhone
1369721743896612875,"RT @FCBarcelona_es: 🏟 Parque de los Príncipes

🔵🔴 ¡Vamos #Culers! ¿Desde dónde animaréis al equipo? 🙌🌍

#PSGBarça https://t.co/VN4lTIyLMr",es,yohnsito17,befor game,http://pbs.twimg.com/media/EwI3I82XIAEM3g-.jpg,#Culers#PSGBarça,0,82,Twitter for Android
1369721740318957568,"Cette fois ci, PAS DE RE-MON-TA-DA❤💙 #PSGbarca https://t.co/IdAOciIM91",fr,MerlusMonster,befor game,None,#PSGbarca,0,0,Twitter for Android
1369721740079865857,"RT @HagridFCB: Ronald Koeman, on a remontada: “We always create opportunities to score, so if we are effective tomorrow, nothing is impossi…",en,2drunkfornickj,befor game,None,,0,143,Twitter Web App
1369721738821390338,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,ChuckBlanco_,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,590,Twitter for iPhone
1369721737617825797,"RT @FCBW_A7: التشكيلة الرسمية 

شتيغن - مينغويزا دي يونغ لينغليت - ديست بوسكيتس بيدري البا - ميسي غريزمان ديمبلي

#PSGBarça #UCL 🔴🔵",ar,karimelkashef_,befor game,None,#PSGBarça#UCL,0,128,Twitter for Android
1369721735449313294,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,SteveChase_,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,595,Twitter for iPhone
1369721734820208640,"RT @Royaltycfc: PSG vs Barcelona #UCL R16 2nd leg.
Who's your money on? Retweet🙏
#ChampionsLeague #PSGBarca",en,ravin_0000,befor game,None,#UCL#ChampionsLeague#PSGBarca,0,9,Twitter for Android
1369721732890849286,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,jeebson04,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,596,Twitter for iPhone
1369721731431227399,"RT @FCBW_A7: التشكيلة الرسمية 

شتيغن - مينغويزا دي يونغ لينغليت - ديست بوسكيتس بيدري البا - ميسي غريزمان ديمبلي

#PSGBarça #UCL 🔴🔵",ar,Sha3baannnn,befor game,None,#PSGBarça#UCL,0,128,Twitter for Android
1369721726997790721,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,pachecoo19__,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,385,Twitter for Android
1369721725362073611,"Composition officielle de PSG #PSGbarca ❤️
Draxler aligné 💪🏽 https://t.co/DslloQvZSR",fr,Rivvinho,befor game,http://pbs.twimg.com/media/EwI6parXEAMJwYg.jpg,#PSGbarca,0,0,Twitter for iPhone
1369721723852062721,"RT @SUQ66: Paris SG 🇫🇷 vs 🇪🇸 Barcelona

#PSGbarca  Live HD Stream

Match Links:
1- https://t.co/putMle2757
2- https://t.co/hZ8v0s47E5
3- ht…",en,Boy123Billy,befor game,None,#PSGbarca,0,14,Twitter Web App
1369721723369762826,Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,FCBarcelona,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,1305,121,Grabyo
1369721721721393155,"RT @lnstantFoot: OFFICIEL !

Et voici les compositions d’équipe de #PSGBarca ! 

Alors, vos pronostics ? Lâchez vous ! 😉 https://t.co/BgRu5…",fr,ToujoursBapt,befor game,None,#PSGBarca,0,51,Twitter for iPhone
1369721720987385859,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,Luqueeee4,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,387,Twitter for iPhone
1369721716679860227,RT @byAngelicaC: Alineación @FCBarcelona #PSGBarca @ChampionsLeague https://t.co/SZcYKzR2kw,es,DanielitoGt1,befor game,http://pbs.twimg.com/media/EwI6PbFWgAMchYh.jpg,#PSGBarca,0,1,Twitter for Android
1369723750023839746,"RT @fcbarcelona_ara: 📋 تشكيلتنا لمباراة الليلة 

🔜 #PSGBARÇA 🔥 https://t.co/pVQ0FRdVCw",ar,wvip110,befor game,http://pbs.twimg.com/media/EwI5COuXIAoQBMb.jpg,#PSGBARÇA,0,54,Twitter for Android
1369723748945903622,#PSGbarca #PSGFCB #ChampionsLeague https://t.co/EyYMSABrBp,und,Tartin213,befor game,http://pbs.twimg.com/ext_tw_video_thumb/1369723735905800196/pu/img/J5Du-4xnv9eTaZn3.jpg,#PSGbarca#PSGFCB#ChampionsLeague,1,0,Twitter for iPhone
1369723748018978819,"RT @HagridFCB: (🌕) JUST IN: Ronald Koeman is considering on using a different tactical approach tonight. A 3-4-3 formation: Ter Stegen, Min…",ht,Samtrappie,befor game,None,,0,172,Twitter for Android
